utc,cluster_size,btc_ret15,symbols
2026-04-22T09:45:00+00:00,1,-0.00114,KRW-MET2
2026-04-22T10:15:00+00:00,1,0.00067,KRW-XEC
2026-04-22T11:15:00+00:00,2,0.00175,KRW-BONK|KRW-PENGU
2026-04-22T11:30:00+00:00,1,-0.00054,KRW-ARB
2026-04-22T13:30:00+00:00,1,0.00179,KRW-PYTH
2026-04-22T13:45:00+00:00,1,0.00345,KRW-TRX
2026-04-22T14:30:00+00:00,1,-0.00377,KRW-LINK
2026-04-22T15:30:00+00:00,1,0.00268,KRW-AVNT
2026-04-23T00:00:00+00:00,2,-0.00235,KRW-SAND|KRW-ZKP
2026-04-23T00:15:00+00:00,1,0.00698,KRW-MET2
2026-04-23T02:15:00+00:00,2,-0.00121,KRW-BIO|KRW-ETC
2026-04-23T04:45:00+00:00,1,-0.00011,KRW-RED
2026-04-23T05:45:00+00:00,1,0.00227,KRW-ZBT
2026-04-23T09:00:00+00:00,2,-0.00314,KRW-ELF|KRW-PENGU
2026-04-24T00:00:00+00:00,1,0.00059,KRW-ZKP
2026-04-24T00:15:00+00:00,1,0.00203,KRW-ELF
2026-04-24T00:30:00+00:00,2,0.00029,KRW-ENSO|KRW-PYTH
2026-04-24T02:30:00+00:00,1,0.00105,KRW-SKR
2026-04-24T02:45:00+00:00,1,-0.00266,KRW-XAUT
2026-04-24T03:15:00+00:00,1,-0.00293,KRW-PENGU
2026-04-24T06:00:00+00:00,1,-0.00062,KRW-ZKP
2026-04-24T06:45:00+00:00,2,-0.00044,KRW-ESP|KRW-SKR
2026-04-24T10:15:00+00:00,1,0.00166,KRW-ZKP
2026-04-24T11:30:00+00:00,1,-0.00047,KRW-ENS
2026-04-24T11:45:00+00:00,2,-0.00122,KRW-ESP|KRW-SKR
2026-04-24T14:15:00+00:00,2,-0.00159,KRW-BIRB|KRW-TREE
2026-04-24T14:45:00+00:00,1,0.00138,KRW-ELF
2026-04-24T15:45:00+00:00,1,0.00044,KRW-SKR
2026-04-24T16:00:00+00:00,1,-0.00275,KRW-TRX
2026-04-24T18:00:00+00:00,1,-0.00078,KRW-TRUMP
2026-04-24T20:00:00+00:00,1,-0.00079,KRW-SKR
2026-04-24T20:15:00+00:00,1,-0.00023,KRW-ZBT
2026-04-24T21:15:00+00:00,1,-0.00047,KRW-ME
2026-04-25T00:00:00+00:00,3,-0.00099,KRW-SKR|KRW-WAVES|KRW-ZKP
2026-04-25T00:15:00+00:00,1,-0.00042,KRW-RVN
2026-04-25T00:30:00+00:00,1,0.00027,KRW-W
2026-04-25T00:45:00+00:00,1,0.0006,KRW-ZBT
2026-04-25T01:45:00+00:00,1,-0.00052,KRW-SOPH
2026-04-25T03:30:00+00:00,1,0.00043,KRW-BIGTIME
2026-04-25T03:45:00+00:00,1,-0.00053,KRW-AXS
2026-04-25T04:15:00+00:00,1,-3e-05,KRW-RVN
2026-04-25T04:30:00+00:00,1,-0.00075,KRW-HYPER
2026-04-25T06:30:00+00:00,1,0.00026,KRW-SAND
2026-04-25T07:45:00+00:00,1,-2e-05,KRW-BIGTIME
2026-04-25T08:00:00+00:00,1,-0.00039,KRW-AXS
2026-04-25T08:45:00+00:00,1,0.00023,KRW-TRX
2026-04-25T10:30:00+00:00,1,0.00016,KRW-AWE
2026-04-25T10:45:00+00:00,1,-0.00108,KRW-HYPER
2026-04-25T11:15:00+00:00,1,-0.0008,KRW-TRUMP
2026-04-25T11:30:00+00:00,2,0.00068,KRW-SAND|KRW-ZKP
2026-04-25T12:00:00+00:00,1,0.0008,KRW-AXS
2026-04-25T12:30:00+00:00,2,-0.00092,KRW-BIGTIME|KRW-SAHARA
2026-04-25T12:45:00+00:00,3,0.00055,KRW-LA|KRW-MIRA|KRW-SOPH
2026-04-25T13:15:00+00:00,2,-0.00041,KRW-ERA|KRW-HOLO
2026-04-25T13:45:00+00:00,1,0.00139,KRW-PLUME
2026-04-25T14:00:00+00:00,3,-7e-05,KRW-DOOD|KRW-ID|KRW-INJ
2026-04-25T14:15:00+00:00,2,9e-05,KRW-ATOM|KRW-VANA
2026-04-25T14:30:00+00:00,1,4e-05,KRW-ENSO
2026-04-25T15:15:00+00:00,1,0.0004,KRW-HYPER
2026-04-25T16:00:00+00:00,1,0.00091,KRW-AXS
2026-04-25T16:15:00+00:00,1,0.00014,KRW-CRO
2026-04-25T19:45:00+00:00,1,0.0013,KRW-HYPER
2026-04-25T20:15:00+00:00,1,3e-05,KRW-AXS
2026-04-25T21:30:00+00:00,1,-0.00039,KRW-ZBT
2026-04-25T21:45:00+00:00,1,0.00046,KRW-ENSO
2026-04-26T00:00:00+00:00,3,-0.0002,KRW-HYPER|KRW-LA|KRW-SAHARA
2026-04-26T00:15:00+00:00,3,-0.00054,KRW-AXS|KRW-KAT|KRW-RVN
2026-04-26T00:30:00+00:00,1,0.00069,KRW-DOOD
2026-04-26T00:45:00+00:00,4,-0.00082,KRW-ERA|KRW-MIRA|KRW-OPEN|KRW-ZORA
2026-04-26T01:00:00+00:00,1,5e-05,KRW-WLFI
2026-04-26T04:15:00+00:00,1,-0.00052,KRW-LAYER
2026-04-26T05:00:00+00:00,3,0.00396,KRW-AWE|KRW-JTO|KRW-MMT
2026-04-26T05:30:00+00:00,3,-0.00106,KRW-ELSA|KRW-JUP|KRW-MIRA
2026-04-26T05:45:00+00:00,1,-0.0009,KRW-ENSO
